,id,title,artist,danceability,energy,key,loudness,modal,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,sentiments,no_of_tags
79,3zJQ6YwttoSKX3iRWj0LAo,Still Here,H2O,0.42,0.983,2,-5.171,1,0.00136,0.0,0.441,0.259,152.218,113080,4,positive,1
80,10zEjN1uWiYKSLo01BGlJx,The Thanksgiving Song,Adam Sandler,0.394,0.577,6,-13.276,1,0.826,0.0,0.954,0.345,88.206,228133,3,positive,1
81,33Poqdk5S8VfptJygKM92U,Wooly,Breathe Carolina,0.507,0.963,0,-5.556,0,0.00357,4.65e-05,0.405,0.465,142.034,233147,4,positive,1
82,1wn3udh133cApx4lkvtmcP,Друзья,Lumen,0.635,0.663,5,-6.807,1,0.00769,0.000497,0.384,0.672,148.054,217313,4,positive,1
83,184HGdGIscUiPbDuqbvHuN,Defying Gravity - Original Cast Recording/2003,Kristin Chenoweth,0.304,0.378,6,-8.251,1,0.725,0.0,0.0339,0.294,85.268,353920,4,positive,1
84,2DPes8DAGuIrLxWvbPOXfs,Wrygdwylife?,Bonaparte,0.775,0.628,9,-6.399,1,0.441,0.0,0.144,0.719,129.995,213429,4,positive,1
85,7AuE0HA6k7bkrq99VXI363,Выходной,Lumen,0.471,0.919,11,-5.322,0,0.000802,0.0,0.669,0.857,162.197,147467,3,positive,1
86,4Vl0iF15AKYFT4FnxTS4TR,Greatest Show on Earth,The Felice Brothers,0.581,0.487,0,-8.703,0,0.549,0.00459,0.0822,0.398,77.97,330560,4,positive,1
87,1GbmVgIjLHpVJsUWgJ4x7r,I Like Van Halen Because My Sister Says They Are Cool,El Ten Eleven,0.597,0.569,9,-9.6,1,0.00772,0.89,0.11,0.739,150.06,234560,4,positive,2
88,04zfFfRMXegKi4mMkGMeze,Yes!,Coldplay,0.162,0.807,6,-6.277,1,0.00884,0.358,0.187,0.227,161.577,426653,4,positive,1
89,0YjkE4GMuSqcfpvWOu7apV,Bring Back My Happiness,Moby,0.582,0.958,0,-4.599,1,0.0597,0.000725,0.0585,0.955,148.933,192400,4,positive,4
